N,P,K,temperature,humidity,ph,rainfall,label
79.6,47.4,45.8,27.33,76.24,6.53,225.72,Rice
95.6,50.7,40.1,26.1,87.77,6.31,224.86,Rice
53.8,50.2,35.1,29.08,88.88,6.73,193.77,Rice
88.2,54.6,42.3,21.78,81.3,5.52,212.67,Rice
80.9,48.1,41.0,25.88,84.61,6.49,202.68,Rice
77.0,59.6,37.0,24.16,83.55,6.71,288.57,Rice
80.9,45.9,40.3,29.17,94.62,5.81,264.07,Rice
60.1,69.8,38.1,21.68,86.78,6.86,274.15,Rice
77.8,53.0,40.6,21.6,81.79,6.54,257.65,Rice
83.6,41.1,43.3,22.2,78.48,6.23,202.13,Rice
94.8,39.4,47.9,18.39,75.87,6.65,220.26,Rice
74.8,51.9,33.8,22.39,83.11,7.31,250.68,Rice
71.9,46.2,50.7,21.8,79.27,6.47,199.34,Rice
75.0,53.7,30.2,24.08,76.61,6.5,257.39,Rice
89.2,51.8,39.2,24.55,79.71,6.22,228.79,Rice
83.3,47.4,42.9,28.39,77.97,6.06,224.76,Rice
74.7,41.2,41.4,26.08,89.05,6.73,257.33,Rice
85.1,35.9,36.9,22.26,85.83,6.06,249.33,Rice
81.0,44.4,39.0,21.45,82.27,6.43,225.17,Rice
89.7,54.9,37.5,24.93,88.22,6.21,270.78,Rice
73.0,49.7,37.1,20.4,82.61,6.59,203.57,Rice
76.7,38.0,44.2,28.28,78.85,6.53,254.48,Rice
76.1,49.4,41.8,26.65,88.39,6.82,253.79,Rice
65.4,51.1,36.5,22.53,84.46,6.2,226.71,Rice
83.0,40.9,44.5,19.42,78.15,6.29,245.78,Rice
82.6,49.2,41.5,27.08,81.54,6.01,198.47,Rice
80.1,48.5,44.1,23.41,78.8,6.22,263.72,Rice
77.7,38.9,43.1,26.79,76.77,6.55,230.45,Rice
71.7,55.5,21.5,26.32,70.09,6.25,74.78,Maize
90.6,43.9,18.4,24.99,50.62,6.03,99.68,Maize
69.5,48.8,20.1,22.57,75.54,6.25,82.18,Maize
61.1,44.3,25.1,20.59,64.4,6.42,73.46,Maize
59.3,44.5,20.8,24.36,70.64,6.22,92.85,Maize
85.3,45.5,20.2,23.5,59.9,6.22,71.32,Maize
62.6,49.8,14.6,24.91,68.16,5.92,85.22,Maize
99.1,44.2,23.0,24.18,59.83,5.93,84.66,Maize
53.0,58.0,22.6,25.34,61.98,5.64,101.09,Maize
98.4,40.8,28.7,20.9,74.67,6.9,91.92,Maize
80.5,46.5,18.8,26.09,64.15,5.7,84.42,Maize
76.8,44.5,20.9,22.95,66.19,5.92,97.07,Maize
71.5,59.6,21.0,28.21,69.45,5.91,105.65,Maize
82.8,49.6,26.3,20.47,67.58,6.56,93.17,Maize
77.5,56.3,19.6,27.26,65.85,6.08,84.96,Maize
91.2,36.1,21.1,22.95,66.92,6.7,65.12,Maize
79.4,50.1,22.4,20.58,77.12,5.93,68.82,Maize
79.8,55.1,20.7,21.05,64.81,6.31,80.22,Maize
73.6,48.7,18.2,21.5,66.11,5.87,75.66,Maize
77.3,56.5,20.8,23.59,70.35,7.06,82.0,Maize
81.7,43.9,24.3,23.86,70.63,5.72,85.65,Maize
57.5,59.3,15.9,20.79,71.04,6.32,92.75,Maize
61.8,66.4,20.5,22.33,68.29,6.45,83.74,Maize
86.9,45.1,17.2,28.4,59.38,6.37,92.1,Maize
80.1,44.4,24.8,27.24,73.27,6.13,85.77,Maize
75.8,59.6,13.9,23.62,59.37,6.15,55.17,Maize
78.2,60.6,17.8,22.51,66.61,6.22,70.71,Maize
82.2,43.8,21.5,22.74,61.33,6.14,82.64,Maize
71.5,44.6,26.3,24.12,64.78,6.59,66.65,Maize
68.7,45.7,19.7,19.54,66.74,7.08,93.8,Maize
80.4,37.2,17.8,21.68,66.71,5.98,107.76,Maize
66.3,40.7,27.5,17.73,67.21,5.65,103.08,Maize
82.9,40.0,14.2,23.52,73.17,6.16,81.6,Maize
57.6,41.9,11.2,24.21,67.37,7.23,107.16,Maize
90.3,47.7,21.8,21.05,63.88,5.88,87.03,Maize
83.7,49.9,18.0,26.81,69.92,6.86,79.74,Maize
81.1,60.4,15.9,18.97,71.05,6.87,75.6,Maize
89.8,40.0,22.8,18.3,58.96,5.98,80.26,Maize
98.0,55.9,21.0,23.03,68.09,6.43,78.98,Maize
90.2,46.3,17.7,25.33,68.61,6.85,87.36,Maize
55.9,47.6,14.9,27.11,63.61,6.05,87.21,Maize
62.6,53.4,23.5,21.12,71.98,6.12,84.85,Maize
70.5,39.0,22.6,25.42,64.35,5.97,91.35,Maize
78.3,51.1,19.6,22.29,65.73,5.79,102.66,Maize
84.2,49.3,27.4,21.92,64.23,5.94,99.04,Maize
69.3,51.9,15.7,24.87,65.18,5.71,62.53,Maize
80.2,50.3,13.9,24.23,59.62,6.21,46.49,Maize
68.9,67.6,17.2,17.99,57.9,5.89,98.81,Maize
70.7,42.9,19.8,26.53,73.07,6.29,64.3,Maize
61.1,43.8,21.0,26.26,60.87,5.58,81.43,Maize
66.9,43.0,19.0,20.65,60.14,6.33,67.25,Maize
61.8,43.6,21.4,23.51,54.33,6.53,57.77,Maize
66.3,42.9,15.0,23.78,61.91,5.4,92.92,Maize
90.6,57.5,25.8,23.13,58.48,6.35,96.19,Maize
66.6,59.4,19.7,20.86,73.31,6.69,76.15,Maize
109.6,43.4,24.5,20.52,70.15,5.72,45.93,Maize
83.9,41.3,21.4,22.33,61.66,6.87,76.61,Maize
80.2,51.8,21.8,25.68,76.36,6.37,90.68,Maize
67.7,43.6,22.3,23.92,70.01,5.92,62.62,Maize
86.4,53.1,21.8,21.36,63.48,6.18,87.55,Maize
71.1,49.6,22.6,24.56,52.6,6.42,84.57,Maize
79.5,35.9,25.3,14.42,76.55,6.23,93.49,Maize
108.7,60.4,20.8,25.62,58.15,6.42,86.59,Maize
76.8,62.4,22.8,17.53,56.87,5.83,70.2,Maize
91.8,43.1,19.6,21.39,70.21,6.27,102.75,Maize
69.6,44.9,25.8,19.26,77.3,5.63,82.42,Maize
77.6,50.3,17.3,18.77,72.02,6.16,84.39,Maize
99.2,50.7,27.2,25.65,67.92,5.84,70.8,Maize
70.5,53.3,19.8,21.09,68.07,5.91,78.15,Maize
99.7,64.1,14.3,23.37,69.37,6.69,71.53,Maize
86.5,46.6,20.5,22.27,68.89,6.64,82.21,Maize
71.3,41.6,17.3,23.74,66.51,6.44,110.48,Maize
85.6,37.0,23.4,22.62,65.62,5.76,64.22,Maize
89.7,42.2,17.4,18.81,64.79,6.07,60.6,Maize
85.5,47.7,18.2,25.19,61.33,6.69,106.87,Maize
59.2,62.4,12.4,21.02,63.7,6.26,81.66,Maize
69.3,43.9,18.2,18.04,56.64,7.13,74.76,Maize
75.0,49.8,10.3,21.2,64.61,6.36,100.4,Maize
77.1,47.9,13.7,26.6,60.16,6.28,75.72,Maize
85.4,57.5,23.0,24.78,59.58,6.08,112.19,Maize
80.1,68.2,23.1,21.42,66.0,6.25,94.97,Maize
62.0,43.8,21.7,21.42,72.06,6.14,77.48,Maize
82.6,44.1,16.1,21.5,69.69,6.48,117.16,Maize
85.3,56.4,19.8,28.21,57.25,6.58,75.71,Maize
84.7,53.5,20.0,23.47,60.15,5.89,95.93,Maize
91.0,62.8,15.4,23.6,69.8,5.67,89.29,Maize
88.0,52.7,26.0,25.28,60.19,5.47,104.33,Maize
83.5,45.1,23.5,23.07,63.98,6.4,108.22,Maize
77.2,52.7,19.1,21.67,67.85,5.76,85.28,Maize
58.1,56.9,20.1,21.85,60.26,5.34,73.5,Maize
83.2,54.6,20.8,22.2,65.63,6.36,91.7,Maize
80.5,52.1,11.8,22.3,58.43,7.2,74.63,Maize
81.3,56.5,19.0,24.44,62.09,6.2,115.0,Maize
62.7,57.4,17.3,22.55,66.7,6.54,86.85,Maize
65.0,59.1,16.0,24.45,57.14,6.23,79.32,Maize
90.6,53.2,18.9,22.17,67.3,6.16,87.57,Maize
77.5,46.7,27.2,22.62,65.0,6.57,64.59,Maize
86.2,49.2,22.6,16.81,67.86,6.08,70.23,Maize
78.3,57.7,17.7,24.97,66.22,6.31,102.81,Maize
78.4,41.5,22.3,23.37,71.92,6.33,74.95,Maize
31.6,73.4,77.9,19.6,22.6,7.58,73.35,Chickpea
44.3,64.1,87.2,19.88,16.72,7.17,78.65,Chickpea
49.5,62.3,75.1,20.17,14.77,7.77,72.18,Chickpea
45.8,68.0,74.2,21.12,12.36,7.45,77.02,Chickpea
48.0,66.8,76.1,19.72,11.49,7.26,61.16,Chickpea
33.9,64.8,73.3,18.42,12.15,7.48,82.23,Chickpea
28.6,72.9,79.7,20.25,17.7,6.67,80.11,Chickpea
52.0,74.7,88.7,22.7,18.43,6.85,71.93,Chickpea
37.4,68.6,80.9,18.63,12.16,6.82,86.69,Chickpea
38.0,78.3,77.5,16.95,19.59,7.36,89.48,Chickpea
50.6,60.0,77.2,21.11,15.45,7.99,64.02,Chickpea
44.4,66.6,69.6,18.66,17.34,8.19,72.47,Chickpea
43.6,63.0,84.3,14.55,21.74,7.56,72.41,Chickpea
57.3,54.9,78.5,20.59,19.59,7.5,70.7,Chickpea
34.9,67.4,77.9,17.83,16.09,6.58,88.39,Chickpea
47.4,67.1,98.2,18.72,14.23,7.08,78.16,Chickpea
40.5,78.6,80.8,19.56,10.44,6.98,77.45,Chickpea
42.1,72.4,74.5,19.28,14.74,7.05,60.06,Chickpea
52.2,60.8,76.4,20.32,16.27,7.23,86.45,Chickpea
44.1,81.0,85.9,18.03,13.94,7.11,67.71,Chickpea
44.3,76.5,79.7,19.93,16.51,6.51,80.7,Chickpea
48.6,72.1,70.4,18.38,17.13,7.6,82.87,Chickpea
37.1,66.4,84.5,20.38,16.23,6.87,93.71,Chickpea
33.3,61.3,75.0,20.13,14.95,7.4,67.01,Chickpea
31.6,65.4,90.2,17.03,17.41,8.13,49.9,Chickpea
24.3,75.6,85.5,21.07,18.23,6.93,81.94,Chickpea
56.4,81.2,76.3,17.83,13.63,6.29,98.11,Chickpea
31.2,78.8,86.7,20.52,21.13,7.19,92.49,Chickpea
38.2,64.6,79.4,19.63,16.6,7.74,82.2,Chickpea
37.8,60.2,84.1,22.58,16.96,8.08,75.18,Chickpea
42.5,69.0,81.9,18.45,19.02,6.81,88.17,Chickpea
46.5,55.6,73.9,18.2,17.6,7.5,70.36,Chickpea
46.9,70.3,75.1,18.86,19.76,7.11,84.86,Chickpea
35.3,67.0,85.2,18.29,17.76,7.26,85.15,Chickpea
38.7,64.7,77.0,20.5,15.06,8.36,90.7,Chickpea
42.3,56.8,76.6,15.67,17.98,6.7,107.7,Chickpea
38.0,71.6,73.3,16.79,13.47,7.4,84.02,Chickpea
52.9,64.3,81.5,16.76,17.23,7.49,75.01,Chickpea
43.9,59.8,91.4,20.8,16.8,7.73,79.84,Chickpea
45.9,47.9,72.6,22.32,16.28,7.34,62.41,Chickpea
45.3,67.8,79.1,18.69,16.51,7.42,73.15,Chickpea
49.4,80.4,87.5,18.56,11.25,7.14,76.01,Chickpea
41.4,79.6,78.5,19.04,15.25,7.41,74.86,Chickpea
29.6,64.8,81.7,21.22,17.18,7.16,81.62,Chickpea
43.2,63.8,72.6,17.05,17.38,7.55,71.88,Chickpea
34.8,71.3,81.6,19.38,13.82,7.15,91.31,Chickpea
35.8,61.0,77.9,20.85,20.7,7.45,80.1,Chickpea
44.7,70.1,84.9,19.9,14.3,7.29,80.01,Chickpea
49.9,73.4,86.1,19.28,19.81,7.75,76.82,Chickpea
40.2,76.6,94.5,20.9,18.18,7.28,81.65,Chickpea
42.5,67.3,82.5,13.49,14.96,6.59,88.35,Chickpea
53.6,66.6,81.0,20.26,22.23,7.8,71.43,Chickpea
41.9,61.9,80.2,17.59,13.32,6.94,73.52,Chickpea
60.8,62.2,76.9,15.24,19.66,7.04,77.06,Chickpea
44.5,66.4,81.0,19.92,19.9,7.06,66.64,Chickpea
25.9,70.6,77.2,21.65,14.89,7.85,71.91,Chickpea
46.0,74.4,80.0,18.63,21.08,6.45,75.34,Chickpea
43.0,62.4,86.9,20.81,16.15,8.56,88.84,Chickpea
50.3,78.4,73.0,22.12,17.77,7.72,82.73,Chickpea
45.4,66.1,85.8,21.53,17.68,7.39,82.04,Chickpea
38.9,67.9,86.9,22.18,16.5,7.28,88.61,Chickpea
30.2,62.8,78.3,20.38,19.33,7.41,78.73,Chickpea
38.3,51.0,66.3,19.05,19.28,7.51,84.0,Chickpea
33.2,74.2,75.4,15.7,11.65,7.56,79.07,Chickpea
35.4,73.2,86.8,18.41,20.81,7.52,82.75,Chickpea
44.7,66.0,78.9,17.21,11.91,7.34,74.27,Chickpea
53.4,68.5,73.0,23.24,20.0,7.22,55.71,Chickpea
43.2,71.6,76.0,18.55,20.28,7.24,78.76,Chickpea
30.4,57.1,84.0,19.15,13.63,7.22,94.33,Chickpea
43.6,64.3,82.3,20.0,15.67,7.75,89.36,Chickpea
49.6,73.6,77.6,18.99,13.58,7.54,89.75,Chickpea
35.1,59.2,76.8,22.29,16.26,6.12,92.46,Chickpea
38.9,70.1,76.6,17.65,15.98,7.56,80.99,Chickpea
40.1,58.5,73.5,19.29,19.24,7.38,82.07,Chickpea
33.7,71.3,88.7,17.42,20.83,7.29,73.92,Chickpea
45.2,67.8,77.1,16.26,21.09,7.14,76.94,Chickpea
39.0,56.7,86.3,17.68,15.21,7.75,86.26,Chickpea
43.4,76.2,88.1,18.83,16.27,7.68,92.14,Chickpea
32.9,62.9,85.0,18.04,11.85,6.99,78.71,Chickpea
36.5,62.3,76.4,17.52,14.48,7.46,75.6,Chickpea
45.8,69.4,81.4,16.09,19.79,6.91,80.11,Chickpea
37.0,76.0,78.9,18.73,21.75,6.75,86.11,Chickpea
53.8,60.9,73.6,15.89,13.2,7.05,65.66,Chickpea
36.8,68.4,80.9,20.42,15.12,7.64,57.14,Chickpea
41.8,71.0,71.9,19.06,16.82,7.68,74.59,Chickpea
47.5,72.9,86.1,15.98,17.74,7.51,67.89,Chickpea
28.7,69.2,76.2,18.28,14.47,7.59,75.02,Chickpea
25.9,65.4,80.2,17.4,18.17,7.51,78.62,Chickpea
27.8,62.2,80.7,19.54,15.48,7.04,75.57,Chickpea
50.1,68.6,77.4,21.58,16.86,7.47,94.62,Chickpea
35.6,60.5,82.5,15.15,18.54,7.62,83.37,Chickpea
60.5,47.6,76.2,19.13,16.92,7.6,83.1,Chickpea
35.5,71.1,84.2,18.58,15.59,7.78,86.32,Chickpea
41.5,74.3,70.9,20.24,16.57,7.58,68.71,Chickpea
52.3,51.5,79.8,19.33,16.63,7.44,90.49,Chickpea
56.0,60.9,90.6,17.4,15.79,7.73,79.34,Chickpea
56.5,72.3,73.0,18.26,16.12,7.29,86.8,Chickpea
49.7,82.4,74.9,17.31,21.7,6.95,69.38,Chickpea
48.2,68.1,82.1,21.05,18.58,7.23,64.56,Chickpea
44.7,62.9,80.1,18.94,16.01,7.0,88.28,Chickpea
22.9,79.6,24.2,18.51,23.6,4.95,111.7,Kidneybeans
16.5,65.7,16.0,20.49,24.99,5.95,122.26,Kidneybeans
16.7,72.0,18.5,18.9,20.44,5.45,136.08,Kidneybeans
26.6,57.9,21.0,19.5,19.46,5.22,121.26,Kidneybeans
15.1,60.3,28.0,23.78,17.8,5.45,109.64,Kidneybeans
29.2,70.3,32.4,23.05,18.71,5.63,121.58,Kidneybeans
16.5,77.4,22.4,17.24,31.92,5.46,108.07,Kidneybeans
24.2,69.5,19.3,21.93,25.96,4.82,106.26,Kidneybeans
19.4,64.8,22.1,21.89,16.87,6.06,100.63,Kidneybeans
24.0,67.0,23.6,17.57,16.97,6.21,129.35,Kidneybeans
18.3,58.2,18.7,21.9,23.29,5.96,93.62,Kidneybeans
20.2,71.2,27.2,23.48,23.52,5.24,128.89,Kidneybeans
21.2,73.2,20.9,17.63,23.52,5.62,113.4,Kidneybeans
16.0,63.8,22.0,18.08,20.71,5.7,84.91,Kidneybeans
24.7,63.7,22.7,22.34,21.16,5.94,111.41,Kidneybeans
18.4,68.9,21.7,20.7,22.75,5.97,74.4,Kidneybeans
19.9,63.9,23.4,21.31,21.9,5.41,115.28,Kidneybeans
16.0,66.5,17.5,20.85,13.83,5.73,119.18,Kidneybeans
8.2,81.7,17.8,20.96,20.8,5.88,97.01,Kidneybeans
20.0,65.3,15.6,17.18,18.62,6.28,107.75,Kidneybeans
33.1,64.5,21.8,22.4,22.21,5.98,135.21,Kidneybeans
24.9,62.5,23.1,22.67,32.05,6.02,98.31,Kidneybeans
20.9,72.2,21.8,19.6,22.89,5.73,90.02,Kidneybeans
19.7,65.7,26.7,20.0,20.5,6.26,128.12,Kidneybeans
21.1,62.5,20.0,16.73,24.83,5.86,135.34,Kidneybeans
23.7,76.2,22.7,21.23,23.29,5.36,105.96,Kidneybeans
15.1,76.9,15.6,21.36,23.07,6.26,121.07,Kidneybeans
26.6,62.8,18.5,19.96,23.72,5.98,126.02,Kidneybeans
24.6,53.9,22.8,22.57,28.8,5.52,94.76,Kidneybeans
24.6,74.1,23.4,19.37,17.64,5.51,98.62,Kidneybeans
23.2,62.2,18.8,21.34,23.26,5.82,124.36,Kidneybeans
21.1,72.5,19.7,17.86,18.36,5.89,131.18,Kidneybeans
24.4,53.2,13.9,20.05,23.54,5.78,114.34,Kidneybeans
24.0,73.2,18.6,19.72,18.38,5.82,92.7,Kidneybeans
19.2,58.5,23.6,20.6,20.14,6.38,135.71,Kidneybeans
18.1,72.1,22.3,19.29,20.57,6.13,97.94,Kidneybeans
21.5,67.1,22.0,19.81,25.02,5.78,100.87,Kidneybeans
28.7,60.3,20.2,21.92,24.81,6.08,111.04,Kidneybeans
14.8,64.2,20.0,19.14,17.24,5.29,129.21,Kidneybeans
13.7,71.8,17.4,16.57,21.79,5.86,118.71,Kidneybeans
21.8,67.7,22.8,23.95,19.12,6.42,112.12,Kidneybeans
21.3,71.1,21.7,23.14,17.2,5.61,112.85,Kidneybeans
21.9,80.8,22.0,17.26,20.84,5.36,106.55,Kidneybeans
22.2,56.1,17.9,21.62,20.52,5.44,114.27,Kidneybeans
19.9,78.3,11.4,18.99,30.09,5.26,67.96,Kidneybeans
28.4,67.7,24.4,20.68,23.12,5.39,101.45,Kidneybeans
13.0,60.7,18.1,20.75,16.78,5.55,109.52,Kidneybeans
16.9,57.7,16.5,19.58,19.62,5.14,88.63,Kidneybeans
20.5,65.7,22.8,18.38,25.17,5.71,111.69,Kidneybeans
12.8,73.5,18.4,18.58,28.91,6.06,102.83,Kidneybeans
20.1,66.1,24.2,18.08,16.05,5.34,132.23,Kidneybeans
29.3,77.6,22.5,18.27,15.02,6.31,129.5,Kidneybeans
21.1,56.8,22.7,19.95,28.15,5.9,98.91,Kidneybeans
22.2,66.9,14.5,18.53,22.96,6.11,103.64,Kidneybeans
14.7,58.2,24.8,21.6,18.56,5.44,104.79,Kidneybeans
17.9,69.5,21.0,23.37,23.47,6.04,99.13,Kidneybeans
19.1,73.2,18.5,18.82,12.37,5.26,108.83,Kidneybeans
19.4,64.1,20.6,20.63,21.61,6.06,94.53,Kidneybeans
27.4,48.8,12.9,21.2,22.75,5.77,88.94,Kidneybeans
23.8,68.4,21.6,21.14,24.83,5.92,115.24,Kidneybeans
15.4,70.1,15.9,20.27,18.05,5.23,115.34,Kidneybeans
22.2,69.8,14.6,21.73,21.9,5.34,93.84,Kidneybeans
23.5,75.7,13.9,21.16,18.36,5.94,119.33,Kidneybeans
26.7,59.5,24.5,17.38,22.49,5.32,96.43,Kidneybeans
28.9,71.8,17.5,22.01,18.47,5.89,109.7,Kidneybeans
15.9,75.3,26.1,22.05,20.17,5.15,118.21,Kidneybeans
16.9,54.5,17.9,18.42,18.11,6.04,105.4,Kidneybeans
14.7,69.2,13.2,20.18,23.88,5.21,112.72,Kidneybeans
19.8,63.5,15.5,21.6,24.6,5.92,98.15,Kidneybeans
23.3,66.4,24.9,19.64,20.78,5.95,102.95,Kidneybeans
25.9,69.4,19.4,22.46,21.73,5.42,102.81,Kidneybeans
20.6,63.6,17.8,25.3,16.53,5.93,94.7,Kidneybeans
19.4,62.3,20.6,18.37,20.55,5.8,103.25,Kidneybeans
21.8,67.2,22.0,17.06,21.42,5.48,82.67,Kidneybeans
16.8,59.4,24.5,20.77,30.77,5.3,98.53,Kidneybeans
31.4,59.4,25.8,21.69,17.71,4.91,101.63,Kidneybeans
13.0,71.8,18.6,19.59,26.72,5.84,102.06,Kidneybeans
21.9,59.0,14.7,23.3,25.09,5.07,102.28,Kidneybeans
31.1,71.7,18.3,17.16,22.58,5.74,104.97,Kidneybeans
21.0,70.2,21.0,21.62,27.76,5.59,113.09,Kidneybeans
20.0,54.9,16.1,18.77,22.9,5.97,119.02,Kidneybeans
19.2,62.3,16.2,23.88,22.96,5.58,96.15,Kidneybeans
20.1,75.4,21.4,24.48,21.41,5.57,87.85,Kidneybeans
27.9,60.1,19.8,18.41,25.88,5.99,90.27,Kidneybeans
9.9,63.7,20.1,18.89,25.44,5.83,98.59,Kidneybeans
28.7,70.2,17.0,21.99,19.41,5.83,100.62,Kidneybeans
13.9,72.5,19.1,19.25,16.98,5.89,94.35,Kidneybeans
19.7,65.2,16.3,20.0,20.89,5.09,86.46,Kidneybeans
18.9,62.8,23.6,20.16,18.8,6.0,99.06,Kidneybeans
23.9,77.0,24.1,15.88,21.38,5.94,108.62,Kidneybeans
13.0,79.2,12.6,20.07,25.93,5.29,114.83,Kidneybeans
23.3,73.9,16.3,18.58,20.0,5.6,97.54,Kidneybeans
31.1,67.6,14.0,19.02,21.45,5.68,99.71,Kidneybeans
14.2,61.3,17.4,23.28,21.8,5.65,92.0,Kidneybeans
21.9,61.2,19.7,17.34,24.57,5.83,105.43,Kidneybeans
17.7,70.7,14.2,21.89,13.74,6.27,93.17,Kidneybeans
23.1,69.9,16.3,19.49,19.48,6.13,114.5,Kidneybeans
21.1,76.8,16.0,19.48,22.34,5.18,79.11,Kidneybeans
17.8,71.6,20.8,21.84,25.8,5.95,100.51,Kidneybeans
23.4,56.5,20.3,20.85,19.88,6.23,110.42,Kidneybeans
20.9,67.7,12.4,25.93,49.21,5.97,161.79,Pigeonpeas
33.5,65.0,16.6,29.84,50.65,5.33,163.74,Pigeonpeas
21.7,64.0,18.3,31.82,49.43,5.91,154.39,Pigeonpeas
15.0,70.3,27.6,30.38,55.77,5.29,147.03,Pigeonpeas
19.5,57.4,22.2,25.88,42.39,6.35,160.4,Pigeonpeas
11.1,73.3,14.7,28.6,44.04,6.33,86.19,Pigeonpeas
19.6,65.1,21.9,24.47,43.46,6.07,166.55,Pigeonpeas
15.8,60.1,13.8,29.13,53.08,5.98,152.65,Pigeonpeas
24.6,64.8,24.3,28.83,53.5,6.68,143.94,Pigeonpeas
17.3,76.8,18.1,23.03,50.81,5.8,200.67,Pigeonpeas
19.4,64.3,19.6,24.8,55.2,5.21,132.63,Pigeonpeas
16.8,70.5,25.3,26.99,41.03,6.02,139.42,Pigeonpeas
28.7,62.9,14.9,26.95,58.1,6.84,199.29,Pigeonpeas
18.4,73.3,14.4,24.68,57.24,5.29,128.7,Pigeonpeas
